,horsepower,curb-weight,engine-size,miles,area,drive-wheels_fwd,drive-wheels_rwd,num-of-cylinder_five,num-of-cylinder_four,num-of-cylinder_six,num-of-cylinder_two,price
0,0.26249999999999996,0.41117145073700545,0.518796992481203,0.4545454545454546,0.41343283582089585,0,1,0,1,0,0,13495.0
1,0.26249999999999996,0.41117145073700545,0.518796992481203,0.4545454545454546,0.41343283582089585,0,1,0,1,0,0,16500.0
2,0.4416666666666666,0.5178432893716058,0.6842105263157894,0.36363636363636365,0.44925373134328384,0,1,0,0,1,0,16500.0
3,0.22499999999999998,0.3293250581846392,0.3609022556390978,0.4545454545454546,0.5298507462686568,1,0,0,1,0,0,13950.0
4,0.2791666666666667,0.5182311869666407,0.5639097744360901,0.6363636363636364,0.5298507462686568,0,0,1,0,0,0,17450.0
5,0.2583333333333333,0.3952676493405741,0.5639097744360901,0.4545454545454546,0.5402985074626874,1,0,1,0,0,0,15250.0
6,0.2583333333333333,0.525989138867339,0.5639097744360901,0.4545454545454546,0.7701492537313435,1,0,1,0,0,0,17710.0
7,0.2583333333333333,0.5686578743211792,0.5639097744360901,0.4545454545454546,0.7701492537313435,1,0,1,0,0,0,18920.0
8,0.38333333333333336,0.6198603568657874,0.5263157894736841,0.7272727272727273,0.7701492537313435,1,0,1,0,0,0,23875.0
9,0.4666666666666666,0.6070597362296353,0.5263157894736841,0.4545454545454546,0.553731343283582,0,0,1,0,0,0,13207.129353233833
10,0.22083333333333333,0.35182311869666405,0.3533834586466165,0.4545454545454546,0.5328358208955226,0,1,0,1,0,0,16430.0
11,0.22083333333333333,0.35182311869666405,0.3533834586466165,0.4545454545454546,0.5328358208955226,0,1,0,1,0,0,16925.0
12,0.30416666666666664,0.474010861132661,0.7744360902255638,0.36363636363636365,0.5328358208955226,0,1,0,0,1,0,20970.0
13,0.30416666666666664,0.495345228859581,0.7744360902255638,0.36363636363636365,0.5328358208955226,0,1,0,0,1,0,21105.0
